Date,Price,Open_1,High_1,Low_1
"Oct 11, 2017",4824.2,4777.5,4930,4722.8
"Oct 12, 2017",5432.6,4763.4,4874.9,4718.6
"Oct 13, 2017",5637.3,4824.2,5432.6,4815
"Oct 14, 2017",5824.7,5432.6,5852.8,5392
"Oct 15, 2017",5688.1,5637.3,5839.6,5568.9
"Oct 16, 2017",5759.3,5824.7,5862.7,5448.2
"Oct 17, 2017",5598.6,5677.4,5795.3,5576.1
"Oct 18, 2017",5575.8,5759.3,5773.3,5521.1
"Oct 19, 2017",5698.6,5598.6,5601.3,5114.9
"Oct 20, 2017",5993.1,5576.7,5737.4,5517.6
"Oct 21, 2017",6006.6,5698.6,6075.3,5611.4
"Oct 22, 2017",5982.9,5993.1,6187.2,5874.5
"Oct 23, 2017",5903.6,6006.6,6070.6,5723
"Oct 24, 2017",5513.1,5982.9,6049,5644.2
"Oct 25, 2017",5734,5903.6,5904.6,5463.4
"Oct 26, 2017",5887.6,5513.1,5748,5375.6
"Oct 27, 2017",5764.6,5734,5970.4,5689.9
"Oct 28, 2017",5726.6,5887.6,5997.8,5692.3
"Oct 29, 2017",6147.5,5764.6,5871,5654.8
"Oct 30, 2017",6124.3,5726.6,6295.4,5679.4
"Oct 31, 2017",6451.2,6147.7,6226.2,6019
"Nov 01, 2017",6737.8,6124.3,6467.2,6090.8
"Nov 02, 2017",7024.8,6449.1,6738.7,6355
"Nov 03, 2017",7152.1,6737.8,7339.9,6737.8
"Nov 04, 2017",7363.8,7024.8,7445.6,6938.9
"Nov 05, 2017",7389.5,7147,7492.2,6957.8
"Nov 06, 2017",6959.2,7363.8,7599.4,7284.3
"Nov 07, 2017",7102.8,7389.5,7429.7,6934.7
"Nov 08, 2017",7444.4,6959.3,7222.4,6957.8
"Nov 09, 2017",7129.6,7102.2,7869.1,7027
"Nov 10, 2017",6565.8,7444.4,7457.1,7040.8
"Nov 11, 2017",6339.9,7129.6,7319,6406
"Nov 12, 2017",5878.1,6565.8,6821.5,6197.9
"Nov 13, 2017",6522.5,6339.9,6490.5,5493.6
"Nov 14, 2017",6597.1,5878.1,6760.1,5828.3
"Nov 15, 2017",7283.2,6522.5,6728.6,6419.2
"Nov 16, 2017",7853.7,6597.1,7330.1,6596.9
"Nov 17, 2017",7700,7283,7964.6,7119.2
"Nov 18, 2017",7780.9,7853.7,8000.2,7534.7
"Nov 19, 2017",8042.6,7700,7857.5,7458.9
"Nov 20, 2017",8244.7,7781,8100.9,7675.4
"Nov 21, 2017",8100,8042.6,8294.1,7947.3
"Nov 22, 2017",8234.5,8245.9,8368.4,7819.1
"Nov 23, 2017",8013.4,8099.9,8304.4,8091.6
"Nov 24, 2017",8200.8,8234.5,8266.5,8012.4
"Nov 25, 2017",8754.7,8013.4,8332.9,7900.2
"Nov 26, 2017",9318.4,8203.5,8762,8153.7
"Nov 27, 2017",9733.2,8754.6,9474.6,8746.6
"Nov 28, 2017",9906,9318.4,9733.6,9316.8
"Nov 29, 2017",9837.9,9732.6,9969.6,9638.2
"Nov 30, 2017",9946.8,9906,11417.8,8938.7
"Dec 01, 2017",10861.5,9848,10689.1,9023.8
"Dec 02, 2017",10912.7,9947.1,10942.8,9420.9
"Dec 03, 2017",11246.2,10861.5,11175.2,10715.5
"Dec 04, 2017",11623.9,10912.7,11851.1,10578.4
"Dec 05, 2017",11667.1,11244.2,11624.6,10917.8
"Dec 06, 2017",13749.6,11624.4,11901.9,11486.1
"Dec 07, 2017",16850.3,11667.1,13843.2,11661.8
"Dec 08, 2017",16047.6,13750.1,16879.3,13401.6
"Dec 09, 2017",14843.4,16868,17294.8,13906.1
"Dec 10, 2017",15059.6,16048.2,16313.2,13151.5
"Dec 11, 2017",16732.5,14840,15783.2,13031
"Dec 12, 2017",17083.9,15060.5,17399.2,15024.6
"Dec 13, 2017",16286.8,16733.3,17560.7,16254.5
"Dec 14, 2017",16467.9,17083.9,17268,15669.9
"Dec 15, 2017",17604.8,16286.8,16941.1,16023.6
"Dec 16, 2017",19345.5,16467.9,17987,16442.2
"Dec 17, 2017",19065.7,17594.1,19587.7,17318.5
"Dec 18, 2017",18972.3,19346.6,19870.6,18750.9
"Dec 19, 2017",17523.7,19065.7,19221.1,18114.4
"Dec 20, 2017",16462,18971.2,19022,16812.8
"Dec 21, 2017",15632.1,17521.7,17813.6,15642.7
"Dec 22, 2017",13665,16461.1,17301.8,14953
"Dec 23, 2017",14396.5,15632.1,15823.7,10875.7
"Dec 24, 2017",13790,13665,15493.2,13356.1
"Dec 25, 2017",13833.5,14396.6,14413.7,12166.5
"Dec 26, 2017",15756.6,13790,14467.4,13010.7
"Dec 27, 2017",15416.6,13830.2,16094.7,13748.5
"Dec 28, 2017",14398.7,15757,16514.6,14534.7
"Dec 29, 2017",14392.6,15416.3,15505.5,13466.1
